Latitude,Longitude,FloodPlain,Mortgage_Date,Mortgage_Maturity,HomeValue,OwnerIncomeToday
37.471026,-122.154219,No,2016,15,546157.976642348,131184.041215464
37.471122,-122.154171,Yes,1997,30,225386.261682242,21135.66
37.471217,-122.154121,Yes,2018,30,583901.462777411,105061.614939049
37.471311,-122.154077,Yes,2006,30,680449.21875,120084.334027777
37.471406,-122.154027,No,2016,30,546157.976642348,80671.0613023786
37.471532,-122.153962,Yes,2012,30,190136.15797546,22259.4374233128
37.47166,-122.153898,No,1994,30,187983.151990553,30572.8027665317
37.471788,-122.153833,No,2007,30,583192.804641606,130450.918916572
37.471914,-122.153769,No,1994,30,188840.218033063,29044.254048583
37.472041,-122.153704,No,2007,30,583192.804641606,128915.177864349
37.470451,-122.154455,No,2013,30,347498.840987821,43546.9844649441
37.471032,-122.153785,No,2012,30,326668.087132055,35427.6569074104
37.470072,-122.154384,No,2018,25,583902.615382416,105061.614939049
37.472107,-122.153129,Yes,2005,30,662293.066756272,80425.5748207885
37.471938,-122.152601,Yes,2013,15,347498.840987821,88785.2268873654
37.471878,-122.152413,No,2007,30,583192.804641606,128915.177864349
37.471632,-122.152433,Yes,2007,67,583192.804641606,161970.12129718
37.471505,-122.152497,No,2017,30,576220.269663838,76225.7889197128
37.471377,-122.152562,No,2018,30,583903.191684919,97745.0353833226
37.471123,-122.152691,No,2007,30,583192.804641606,172439.493976136
37.470996,-122.152756,No,2017,30,576220.269663838,67554.5720463446
37.4709,-122.152804,Yes,2007,30,583192.804641606,129683.048390461
37.470773,-122.152869,No,2015,15,490001.538408241,63608.2173852508
37.470614,-122.152949,No,2005,30,662401.461693548,114402.618279569
37.470449,-122.153064,Yes,2007,30,583192.804641606,123928.307627012
37.470194,-122.15305,No,2015,30,490007.120690116,78831.752068417
37.470172,-122.153225,No,2012,30,326668.454508167,44034.9559221931
37.470148,-122.153404,No,2006,30,680449.21875,147822.468402777
37.470128,-122.153578,No,2008,30,377565.570382205,35734.0641328732
37.470105,-122.15375,No,2013,15,326668.638196223,69765.9765063547
37.470353,-122.153562,No,2013,30,347498.840987821,31346.4310151658
37.470479,-122.153449,No,2012,30,222781.056109678,35160.3305825242
37.470606,-122.153384,No,2006,30,680449.21875,92414.7486111111
37.470765,-122.153304,Yes,2017,30,576220.269663838,116194.748286553
37.470892,-122.153239,No,2004,25,378410.133958112,67391.0566437268
37.470988,-122.153191,No,2016,20,546157.976642348,50658.6220401904
37.471115,-122.153126,No,2007,15,583192.804641606,129299.113127405
37.471242,-122.153061,No,1993,30,234403.114186851,43040.1622145328
37.47137,-122.152997,No,2015,31,490009.911831054,53118.8864511828
37.471497,-122.152932,No,2015,30,490011.307401522,79153.0056915748
37.471624,-122.152868,No,2007,30,583192.804641606,155629.165581503
37.471752,-122.152803,Yes,2007,30,583192.804641606,132164.231559452
37.471997,-122.152786,Yes,2016,30,546157.976642348,119629.765798497
37.471818,-122.152228,No,2009,5,343390.504901252,205796.85038012
37.471647,-122.151698,No,2018,30,583902.903533668,77260.4471002401
37.471587,-122.151511,No,2018,30,583903.047609293,53877.3915502156
37.471341,-122.151532,Yes,2007,30,583192.804641606,91967.3816207039
37.471214,-122.151596,No,2012,30,326668.730040251,39009.6056952707
37.471087,-122.151661,No,2012,30,326668.775962265,51406.5711211965
37.47096,-122.151726,No,2012,30,326668.753001258,49259.7622760176
37.470832,-122.15179,Yes,2017,30,576220.269663838,80663.0995430809
37.470629,-122.151916,Yes,2010,30,335716.518534802,80068.4686961147
37.470415,-122.15195,No,1990,30,177843.498947972,25954.6551644988
37.470257,-122.151996,No,2019,30,617389.803525817,70841.3728550362
37.470297,-122.152245,No,2004,30,378596.502038942,34818.7125992588
37.470247,-122.152444,Yes,2016,30,546157.976642348,67708.9119900669
37.470532,-122.152405,No,2012,30,214668.177328819,37237.8469696969
37.470697,-122.15229,No,1994,30,189268.751054318,36304.8604588394
37.470824,-122.152225,Yes,2017,30,576220.269663838,80663.0995430809
37.470952,-122.152161,No,2006,30,680449.21875,187388.658333333
37.471079,-122.152096,Yes,2003,40,415912.257982337,99043.9529891304
37.471206,-122.152032,Yes,2008,30,377565.570382205,64024.4230456612
37.471334,-122.151967,No,1994,30,189054.48454369,57936.7502699055
37.471461,-122.151902,No,2012,30,162090.140264026,30374.5744224422
37.471706,-122.151883,No,2007,30,583192.804641606,129491.080758933
37.471527,-122.151326,No,2012,30,222838.861261756,23690.1441747572
37.471009,-122.150743,Yes,2007,30,583192.804641606,129491.080758933
37.470843,-122.150728,Yes,2015,30,5716256.63981908,818128.942312154
37.47071,-122.150716,No,2016,15,546157.976642348,69069.3675184473
37.47052,-122.150336,No,2002,30,288065.661478599,30516.1322957198
37.470518,-122.150523,No,2001,20,299313.982213438,71561.4786561264
37.470496,-122.150693,No,2012,30,214667.038300149,39981.138292011
37.470474,-122.150864,No,2013,30,347498.840987821,48972.0375004829
37.470453,-122.151031,No,2013,30,347498.840987821,50023.5486377314
37.470436,-122.151159,No,2012,30,214667.607814484,29788.0381542699
37.47042,-122.15129,No,2016,30,546157.976642348,73706.2064023132
37.470369,-122.151502,No,2015,30,490010.609616288,61359.442023146
37.47065,-122.151303,No,2002,30,289007.052529182,30516.1322957198
37.470786,-122.151189,No,2018,30,583903.119647106,161566.349444659
37.470914,-122.151124,No,2011,30,325312.78781414,32338.4991042015
37.471041,-122.15106,Yes,2007,30,583192.804641606,198285.553578146
37.471168,-122.150995,No,2019,30,617389.803525817,117902.904281908
37.471331,-122.150974,No,2016,30,546157.976642348,80671.0613023786
37.471224,-122.150377,No,2011,30,325343.091981326,39139.8835684341
37.471155,-122.150176,Yes,2016,30,546157.976642348,100887.09175149
37.470767,-122.150067,Yes,2015,31,490010.958508905,90755.8634190796
37.470916,-122.150242,Yes,2011,30,325358.244064918,49080.5538834973
37.471327,-122.150527,No,2007,30,583192.804641606,129491.080758933
37.47109,-122.150015,No,2013,15,347498.840987821,42823.4889700674
37.473649,-122.148897,Yes,2005,65,662347.26422491,80425.5748207885
37.473625,-122.148725,No,2012,30,326668.741520754,48208.1918081483
37.473601,-122.148556,No,1998,30,202811.90184049,70814.601595092
37.473577,-122.148388,No,2017,31,576220.269663838,84000.4789082898
37.473555,-122.148216,No,2008,30,377565.570382205,64024.4230456612
37.47353,-122.148045,No,2005,30,662374.362959229,131512.715770609
37.473506,-122.147874,Yes,2005,30,662360.813592069,80425.5748207885
37.473482,-122.147702,No,2012,30,190136.15797546,26141.1242331288
37.473459,-122.147535,No,2007,30,583192.804641606,193067.203171571
37.473436,-122.147375,No,2006,30,680449.21875,164241.960069444
